from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A0-1_C0,P<=4_A3_C0,131,0.40432099,0.31255546,1.2935976,101.44,7.74353438,3.817378,0.00199601,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,121,0.08587651,0.0716504,1.19854891,101.414,7.77660306,2.51858,0.00598802,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,303,0.27272727,0.24645075,1.10661975,272.578,13.63141765,2.231756,0.01596806,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A4_C0,25,0.14534884,0.10603372,1.37077941,17.96,3.64870197,1.929453,0.04191617,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P5-6_A4_C0,43,0.11168831,0.08562555,1.30438059,32.99,5.31171617,1.884513,0.03193613,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P5-6_A4_C0,21,0.12209302,0.08562555,1.42589469,14.806,3.62638461,1.708037,0.05389222,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A4_C0,42,0.12962963,0.10603372,1.22253216,34.546,5.10882415,1.459044,0.09780439,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A0-1_C0,41,0.08577406,0.0716504,1.19711906,34.12,5.31960491,1.293329,0.1257485,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,364,0.25833925,0.24645075,1.04823882,346.89,13.33181813,1.283396,0.10179641,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A4_C0,58,0.12133891,0.10603372,1.14434271,50.25,6.10294945,1.269878,0.11177645,upper,screening_selected_transition,exodus,minor,transition_bucket_shape,accent_words
