interval,count,share,cum_share,book,model,relation
1,1486,0.14376935,0.14376935,leviticus,continuous,continuous
2,3884,0.37577399,0.51954334,leviticus,continuous,continuous
3,3338,0.32294892,0.84249226,leviticus,continuous,continuous
4,1210,0.11706656,0.95955882,leviticus,continuous,continuous
5,323,0.03125,0.99080882,leviticus,continuous,continuous
6,80,0.00773994,0.99854876,leviticus,continuous,continuous
7,15,0.00145124,1.0,leviticus,continuous,continuous
1,1344,0.14177215,0.14177215,leviticus,sof_only,within
2,3664,0.38649789,0.52827004,leviticus,sof_only,within
3,3061,0.3228903,0.85116034,leviticus,sof_only,within
4,1063,0.1121308,0.96329114,leviticus,sof_only,within
5,271,0.0285865,0.99187764,leviticus,sof_only,within
6,65,0.00685654,0.99873418,leviticus,sof_only,within
7,12,0.00126582,1.0,leviticus,sof_only,within
1,142,0.16588785,0.16588785,leviticus,sof_only,cross_reset
2,220,0.25700935,0.4228972,leviticus,sof_only,cross_reset
3,277,0.32359813,0.74649533,leviticus,sof_only,cross_reset
4,147,0.17172897,0.9182243,leviticus,sof_only,cross_reset
5,52,0.06074766,0.97897196,leviticus,sof_only,cross_reset
6,15,0.01752336,0.99649533,leviticus,sof_only,cross_reset
7,3,0.00350467,1.0,leviticus,sof_only,cross_reset
1,1486,0.14376935,0.14376935,leviticus,sof_only,all
2,3884,0.37577399,0.51954334,leviticus,sof_only,all
3,3338,0.32294892,0.84249226,leviticus,sof_only,all
4,1210,0.11706656,0.95955882,leviticus,sof_only,all
5,323,0.03125,0.99080882,leviticus,sof_only,all
6,80,0.00773994,0.99854876,leviticus,sof_only,all
7,15,0.00145124,1.0,leviticus,sof_only,all
1,1214,0.14007154,0.14007154,leviticus,major,within
2,3411,0.39356179,0.53363332,leviticus,major,within
3,2813,0.32456444,0.85819776,leviticus,major,within
4,928,0.1070728,0.96527057,leviticus,major,within
5,232,0.0267682,0.99203877,leviticus,major,within
6,59,0.00680743,0.9988462,leviticus,major,within
7,10,0.0011538,1.0,leviticus,major,within
1,272,0.16297184,0.16297184,leviticus,major,cross_reset
2,473,0.28340324,0.44637507,leviticus,major,cross_reset
3,525,0.31455962,0.76093469,leviticus,major,cross_reset
4,282,0.16896345,0.92989814,leviticus,major,cross_reset
5,91,0.05452367,0.98442181,leviticus,major,cross_reset
6,21,0.01258238,0.99700419,leviticus,major,cross_reset
7,5,0.00299581,1.0,leviticus,major,cross_reset
1,1486,0.14376935,0.14376935,leviticus,major,all
2,3884,0.37577399,0.51954334,leviticus,major,all
3,3338,0.32294892,0.84249226,leviticus,major,all
4,1210,0.11706656,0.95955882,leviticus,major,all
5,323,0.03125,0.99080882,leviticus,major,all
6,80,0.00773994,0.99854876,leviticus,major,all
7,15,0.00145124,1.0,leviticus,major,all
1,954,0.13142306,0.13142306,leviticus,major_minor,within
2,2966,0.40859623,0.54001929,leviticus,major_minor,within
3,2387,0.32883317,0.86885246,leviticus,major_minor,within
4,736,0.10139138,0.97024384,leviticus,major_minor,within
5,173,0.02383248,0.99407632,leviticus,major_minor,within
6,37,0.00509712,0.99917344,leviticus,major_minor,within
7,6,0.00082656,1.0,leviticus,major_minor,within
1,532,0.17289568,0.17289568,leviticus,major_minor,cross_reset
2,918,0.29834254,0.47123822,leviticus,major_minor,cross_reset
3,951,0.30906727,0.78030549,leviticus,major_minor,cross_reset
4,474,0.15404615,0.93435164,leviticus,major_minor,cross_reset
5,150,0.04874878,0.98310042,leviticus,major_minor,cross_reset
6,43,0.01397465,0.99707507,leviticus,major_minor,cross_reset
7,9,0.00292493,1.0,leviticus,major_minor,cross_reset
1,1486,0.14376935,0.14376935,leviticus,major_minor,all
2,3884,0.37577399,0.51954334,leviticus,major_minor,all
3,3338,0.32294892,0.84249226,leviticus,major_minor,all
4,1210,0.11706656,0.95955882,leviticus,major_minor,all
5,323,0.03125,0.99080882,leviticus,major_minor,all
6,80,0.00773994,0.99854876,leviticus,major_minor,all
7,15,0.00145124,1.0,leviticus,major_minor,all
