shape_field,n_segments,unique_shapes,entropy_norm,top1,top1_share,top3,top3_share,top5,top5_share,top10,top10_share,top20,top20_share,book,level
shape_PA,3078,107,0.79125087,P7_A3,0.07147498,P7_A3+P6_A2+P8_A3,0.20110461,P7_A3+P6_A2+P8_A3+P9_A3+P5_A2,0.32163743,P7_A3+P6_A2+P8_A3+P9_A3+P5_A2+P6_A3+P7_A2+P9_A4+P10_A4+P4_A2,0.52306693,P7_A3+P6_A2+P8_A3+P9_A3+P5_A2+P6_A3+P7_A2+P9_A4+P10_A4+P4_A2+P11_A4+P5_A3+P8_A4+P10_A3+P12_A4+P8_A2+P13_A5+P3_A1+P11_A5+P12_A5,0.74074074,leviticus,minor
bucket_PA,3078,31,0.78811529,P7-9_A3,0.19753086,P7-9_A3+P5-6_A2+P10-12_A4,0.41130604,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4,0.56725146,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4+P7-9_A2+P1-4_A0-1+P1-4_A2+P10-12_A5+P10-12_A3,0.81968811,P7-9_A3+P5-6_A2+P10-12_A4+P5-6_A3+P7-9_A4+P7-9_A2+P1-4_A0-1+P1-4_A2+P10-12_A5+P10-12_A3+P13-15_A5+P16-18_A6-7+P13-15_A6-7+P13-15_A4+P19-24_A8++P5-6_A4+P7-9_A5+P1-4_A3+P19-24_A6-7+P10-12_A6-7,0.9740091,leviticus,minor
shape_PAW,3078,241,0.8075175,P7_A3_W3,0.0474334,P7_A3_W3+P5_A2_W2+P6_A2_W2,0.13255361,P7_A3_W3+P5_A2_W2+P6_A2_W2+P6_A3_W3+P8_A3_W3,0.2037037,P7_A3_W3+P5_A2_W2+P6_A2_W2+P6_A3_W3+P8_A3_W3+P9_A3_W3+P4_A2_W2+P8_A3_W4+P5_A3_W3+P9_A3_W4,0.34990253,P7_A3_W3+P5_A2_W2+P6_A2_W2+P6_A3_W3+P8_A3_W3+P9_A3_W3+P4_A2_W2+P8_A3_W4+P5_A3_W3+P9_A3_W4+P9_A4_W4+P6_A2_W3+P7_A3_W4+P7_A2_W3+P7_A2_W2+P11_A4_W5+P8_A4_W4+P10_A4_W5+P10_A4_W4+P9_A4_W5,0.54191033,leviticus,minor
bucket_PAW,3078,62,0.75648659,P7-9_A3_W3-4,0.18778428,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4,0.35250162,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P10-12_A4_W5-6+P7-9_A4_W3-4,0.4619883,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P10-12_A4_W5-6+P7-9_A4_W3-4+P1-4_A0-1_W1-2+P1-4_A2_W1-2+P10-12_A5_W5-6+P7-9_A2_W3-4+P5-6_A2_W3-4,0.68291098,P7-9_A3_W3-4+P5-6_A2_W1-2+P5-6_A3_W3-4+P10-12_A4_W5-6+P7-9_A4_W3-4+P1-4_A0-1_W1-2+P1-4_A2_W1-2+P10-12_A5_W5-6+P7-9_A2_W3-4+P5-6_A2_W3-4+P10-12_A4_W3-4+P13-15_A5_W5-6+P10-12_A3_W3-4+P7-9_A2_W1-2+P7-9_A4_W5-6+P16-18_A6-7_W7-8+P10-12_A3_W5-6+P13-15_A6-7_W7-8+P5-6_A4_W3-4+P13-15_A4_W5-6,0.888564,leviticus,minor
shape_PA,1670,199,0.8809469,P11_A4,0.04251497,P11_A4+P9_A4+P9_A3,0.10359281,P11_A4+P9_A4+P9_A3+P10_A4+P12_A5,0.15868263,P11_A4+P9_A4+P9_A3+P10_A4+P12_A5+P13_A5+P16_A6+P8_A3+P11_A5+P7_A3,0.27125749,P11_A4+P9_A4+P9_A3+P10_A4+P12_A5+P13_A5+P16_A6+P8_A3+P11_A5+P7_A3+P6_A3+P14_A6+P18_A6+P14_A5+P15_A6+P18_A7+P15_A5+P5_A2+P12_A4+P17_A7,0.4251497,leviticus,major
bucket_PA,1670,30,0.84460591,P25+_A8+,0.12814371,P25+_A8++P19-24_A8++P16-18_A6-7,0.33113772,P25+_A8++P19-24_A8++P16-18_A6-7+P10-12_A4+P7-9_A3,0.48802395,P25+_A8++P19-24_A8++P16-18_A6-7+P10-12_A4+P7-9_A3+P13-15_A6-7+P10-12_A5+P13-15_A5+P19-24_A6-7+P7-9_A4,0.76946108,P25+_A8++P19-24_A8++P16-18_A6-7+P10-12_A4+P7-9_A3+P13-15_A6-7+P10-12_A5+P13-15_A5+P19-24_A6-7+P7-9_A4+P5-6_A2+P5-6_A3+P10-12_A3+P16-18_A8++P13-15_A4+P10-12_A6-7+P7-9_A2+P1-4_A2+P16-18_A5+P7-9_A5,0.97245509,leviticus,major
shape_PAW,1670,457,0.90332837,P11_A4_W5,0.03233533,P11_A4_W5+P9_A4_W4+P9_A3_W3,0.07005988,P11_A4_W5+P9_A4_W4+P9_A3_W3+P12_A5_W5+P7_A3_W3,0.10239521,P11_A4_W5+P9_A4_W4+P9_A3_W3+P12_A5_W5+P7_A3_W3+P11_A5_W5+P10_A4_W4+P6_A3_W3+P10_A4_W5+P8_A3_W3,0.16826347,P11_A4_W5+P9_A4_W4+P9_A3_W3+P12_A5_W5+P7_A3_W3+P11_A5_W5+P10_A4_W4+P6_A3_W3+P10_A4_W5+P8_A3_W3+P13_A5_W5+P9_A4_W5+P5_A2_W2+P13_A5_W6+P9_A3_W4+P14_A6_W7+P8_A3_W4+P12_A5_W6+P5_A3_W3+P13_A6_W6,0.26946108,leviticus,major
bucket_PAW,1670,61,0.83652957,P19-24_A8+_W9-12,0.1,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4,0.25748503,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A5_W5-6,0.37964072,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A5_W5-6+P10-12_A4_W5-6+P13-15_A5_W5-6+P25+_A8+_W9-12+P13-15_A6-7_W7-8+P7-9_A4_W3-4,0.58443114,P19-24_A8+_W9-12+P25+_A8+_W13++P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A5_W5-6+P10-12_A4_W5-6+P13-15_A5_W5-6+P25+_A8+_W9-12+P13-15_A6-7_W7-8+P7-9_A4_W3-4+P10-12_A4_W3-4+P19-24_A6-7_W7-8+P5-6_A3_W3-4+P19-24_A6-7_W9-12+P13-15_A6-7_W5-6+P16-18_A8+_W9-12+P10-12_A3_W3-4+P5-6_A2_W1-2+P16-18_A6-7_W5-6+P13-15_A5_W7-8,0.8011976,leviticus,major
shape_PA,857,267,0.94208601,P11_A4,0.03033839,P11_A4+P35_A13+P20_A8,0.0571762,P11_A4+P35_A13+P20_A8+P34_A12+P35_A14,0.08051342,P11_A4+P35_A13+P20_A8+P34_A12+P35_A14+P32_A12+P21_A9+P36_A13+P29_A11+P22_A9,0.13768961,P11_A4+P35_A13+P20_A8+P34_A12+P35_A14+P32_A12+P21_A9+P36_A13+P29_A11+P22_A9+P23_A9+P27_A10+P26_A9+P27_A11+P24_A10+P30_A13+P38_A15+P33_A12+P25_A10+P18_A7,0.23687281,leviticus,verse
bucket_PA,857,18,0.41977203,P25+_A8+,0.6907818,P25+_A8++P19-24_A8++P16-18_A6-7,0.86231039,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4,0.92998833,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4+P16-18_A8++P13-15_A6-7+P13-15_A8++P13-15_A5+P10-12_A6-7,0.98366394,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P10-12_A4+P16-18_A8++P13-15_A6-7+P13-15_A8++P13-15_A5+P10-12_A6-7+P10-12_A5+P10-12_A3+P7-9_A3+P16-18_A5+P7-9_A5+P19-24_A5+P13-15_A3+P25+_A6-7,1.0,leviticus,verse
