from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,483,0.34134276,0.31508678,1.08332934,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A3_C0,368,0.31972198,0.31508678,1.01471086,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A2_C0,352,0.24876325,0.25611927,0.97127893,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A2_C0,312,0.27106864,0.25611927,1.05836877,numbers,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A3_C0,133,0.28787879,0.31508678,0.9136492,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A4_C0,131,0.09257951,0.10280374,0.9005461,numbers,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A2_C0,127,0.35180055,0.25611927,1.37358096,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A4_C0,120,0.10425717,0.10280374,1.0141379,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P<=4_A0-1_C0,120,0.10425717,0.08032933,1.29787178,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A4_C0,113,0.07985866,0.07699154,1.03723932,numbers,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A2_C0,112,0.24242424,0.25611927,0.94652871,numbers,minor,transition_bucket_shape,accent_words
P<=4_A0-1_C0,P<=4_A3_C0,101,0.27977839,0.31508678,0.88794075,numbers,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A2_C0,97,0.28034682,0.25611927,1.0945948,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P<=4_A0-1_C0,95,0.06713781,0.08032933,0.83578203,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P5-6_A5_C0,94,0.0664311,0.07076101,0.93880925,numbers,minor,transition_bucket_shape,accent_words
P5-6_A4_C0,P<=4_A3_C0,90,0.26011561,0.31508678,0.8255364,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A5_C0,83,0.07211121,0.07076101,1.01908103,numbers,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A3_C0,79,0.24842767,0.31508678,0.78844206,numbers,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A2_C0,74,0.2327044,0.25611927,0.90857827,numbers,minor,transition_bucket_shape,accent_words
P<=4_A2_C0,P5-6_A4_C0,64,0.05560382,0.07699154,0.72220688,numbers,minor,transition_bucket_shape,accent_words
P7-9_A6-7_C0,P<=4_A3_C0,63,0.40384615,0.31508678,1.28169817,numbers,minor,transition_bucket_shape,accent_words
P<=4_A4_C0,P<=4_A0-1_C0,53,0.11471861,0.08032933,1.42810375,numbers,minor,transition_bucket_shape,accent_words
P<=4_A3_C0,P7-9_A6-7_C0,53,0.03745583,0.03449043,1.08597743,numbers,minor,transition_bucket_shape,accent_words
P5-6_A5_C0,P<=4_A4_C0,47,0.14779874,0.10280374,1.43767867,numbers,minor,transition_bucket_shape,accent_words
