ngram_n,rank,pattern,count,share,book,model,relation
2,1,2-2,1901,0.14979119,deuteronomy,continuous,continuous
2,2,3-2,1504,0.11850918,deuteronomy,continuous,continuous
2,3,2-3,1490,0.11740604,deuteronomy,continuous,continuous
2,4,3-3,1413,0.11133874,deuteronomy,continuous,continuous
2,5,2-1,667,0.05255693,deuteronomy,continuous,continuous
2,6,1-2,603,0.04751399,deuteronomy,continuous,continuous
2,7,4-2,578,0.04554409,deuteronomy,continuous,continuous
2,8,2-4,546,0.04302261,deuteronomy,continuous,continuous
2,9,4-3,498,0.03924041,deuteronomy,continuous,continuous
2,10,3-4,498,0.03924041,deuteronomy,continuous,continuous
2,11,3-1,481,0.03790087,deuteronomy,continuous,continuous
2,12,1-3,463,0.03648255,deuteronomy,continuous,continuous
2,13,1-4,228,0.01796549,deuteronomy,continuous,continuous
2,14,1-1,215,0.01694114,deuteronomy,continuous,continuous
2,15,4-4,201,0.015838,deuteronomy,continuous,continuous
2,16,4-1,200,0.0157592,deuteronomy,continuous,continuous
2,17,5-2,165,0.01300134,deuteronomy,continuous,continuous
2,18,5-3,160,0.01260736,deuteronomy,continuous,continuous
2,19,2-5,147,0.01158301,deuteronomy,continuous,continuous
2,20,3-5,136,0.01071626,deuteronomy,continuous,continuous
2,21,1-5,88,0.00693405,deuteronomy,continuous,continuous
2,22,5-1,65,0.00512174,deuteronomy,continuous,continuous
2,23,4-5,51,0.0040186,deuteronomy,continuous,continuous
2,24,5-4,45,0.00354582,deuteronomy,continuous,continuous
2,25,6-3,45,0.00354582,deuteronomy,continuous,continuous
2,26,3-6,43,0.00338823,deuteronomy,continuous,continuous
2,27,6-2,43,0.00338823,deuteronomy,continuous,continuous
2,28,2-6,40,0.00315184,deuteronomy,continuous,continuous
2,29,1-6,28,0.00220629,deuteronomy,continuous,continuous
2,30,5-5,24,0.0018911,deuteronomy,continuous,continuous
2,31,1-7,15,0.00118194,deuteronomy,continuous,continuous
2,32,6-4,14,0.00110314,deuteronomy,continuous,continuous
2,33,7-2,14,0.00110314,deuteronomy,continuous,continuous
2,34,7-3,11,0.00086676,deuteronomy,continuous,continuous
2,35,6-5,11,0.00086676,deuteronomy,continuous,continuous
2,36,2-7,11,0.00086676,deuteronomy,continuous,continuous
2,37,6-1,9,0.00070916,deuteronomy,continuous,continuous
2,38,4-6,7,0.00055157,deuteronomy,continuous,continuous
2,39,2-8,6,0.00047278,deuteronomy,continuous,continuous
2,40,8-5,5,0.00039398,deuteronomy,continuous,continuous
2,41,5-6,3,0.00023639,deuteronomy,continuous,continuous
2,42,3-7,3,0.00023639,deuteronomy,continuous,continuous
2,43,6-6,3,0.00023639,deuteronomy,continuous,continuous
2,44,3-8,3,0.00023639,deuteronomy,continuous,continuous
2,45,7-1,3,0.00023639,deuteronomy,continuous,continuous
2,46,7-4,2,0.00015759,deuteronomy,continuous,continuous
2,47,8-3,2,0.00015759,deuteronomy,continuous,continuous
2,48,8-6,1,7.88e-05,deuteronomy,continuous,continuous
2,49,4-7,1,7.88e-05,deuteronomy,continuous,continuous
2,50,8-4,1,7.88e-05,deuteronomy,continuous,continuous
3,1,2-2-2,773,0.06091411,deuteronomy,continuous,continuous
3,2,3-2-2,592,0.04665091,deuteronomy,continuous,continuous
3,3,2-2-3,585,0.04609929,deuteronomy,continuous,continuous
3,4,2-3-2,569,0.04483846,deuteronomy,continuous,continuous
3,5,2-3-3,525,0.04137116,deuteronomy,continuous,continuous
3,6,3-3-2,497,0.0391647,deuteronomy,continuous,continuous
3,7,3-3-3,476,0.03750985,deuteronomy,continuous,continuous
3,8,3-2-3,461,0.03632782,deuteronomy,continuous,continuous
3,9,2-2-1,263,0.02072498,deuteronomy,continuous,continuous
3,10,2-1-2,261,0.02056738,deuteronomy,continuous,continuous
3,11,1-2-2,235,0.01851852,deuteronomy,continuous,continuous
3,12,4-2-2,215,0.01694247,deuteronomy,continuous,continuous
3,13,2-2-4,212,0.01670607,deuteronomy,continuous,continuous
3,14,2-4-2,211,0.01662727,deuteronomy,continuous,continuous
3,15,3-2-1,201,0.01583924,deuteronomy,continuous,continuous
3,16,2-3-1,199,0.01568164,deuteronomy,continuous,continuous
3,17,3-3-4,199,0.01568164,deuteronomy,continuous,continuous
3,18,1-3-2,197,0.01552403,deuteronomy,continuous,continuous
3,19,2-1-3,188,0.01481481,deuteronomy,continuous,continuous
3,20,4-3-3,188,0.01481481,deuteronomy,continuous,continuous
3,21,4-2-3,187,0.01473601,deuteronomy,continuous,continuous
3,22,2-4-3,185,0.01457841,deuteronomy,continuous,continuous
3,23,3-4-2,185,0.01457841,deuteronomy,continuous,continuous
3,24,1-2-3,184,0.01449961,deuteronomy,continuous,continuous
3,25,3-2-4,179,0.01410559,deuteronomy,continuous,continuous
3,26,3-1-2,170,0.01339638,deuteronomy,continuous,continuous
3,27,3-4-3,160,0.01260835,deuteronomy,continuous,continuous
3,28,2-3-4,158,0.01245075,deuteronomy,continuous,continuous
3,29,3-3-1,157,0.01237195,deuteronomy,continuous,continuous
3,30,4-3-2,155,0.01221434,deuteronomy,continuous,continuous
3,31,1-3-3,147,0.01158392,deuteronomy,continuous,continuous
3,32,3-1-3,137,0.0107959,deuteronomy,continuous,continuous
3,33,1-2-1,93,0.00732861,deuteronomy,continuous,continuous
3,34,4-2-1,93,0.00732861,deuteronomy,continuous,continuous
3,35,1-4-2,86,0.00677699,deuteronomy,continuous,continuous
3,36,2-1-4,85,0.00669819,deuteronomy,continuous,continuous
3,37,2-1-1,85,0.00669819,deuteronomy,continuous,continuous
3,38,1-4-3,79,0.00622537,deuteronomy,continuous,continuous
3,39,3-1-4,77,0.00606777,deuteronomy,continuous,continuous
3,40,4-1-2,76,0.00598897,deuteronomy,continuous,continuous
3,41,2-4-1,74,0.00583136,deuteronomy,continuous,continuous
3,42,5-3-2,73,0.00575256,deuteronomy,continuous,continuous
3,43,1-1-2,72,0.00567376,deuteronomy,continuous,continuous
3,44,4-4-2,71,0.00559496,deuteronomy,continuous,continuous
3,45,3-4-4,71,0.00559496,deuteronomy,continuous,continuous
3,46,4-3-4,70,0.00551615,deuteronomy,continuous,continuous
3,47,3-1-1,69,0.00543735,deuteronomy,continuous,continuous
3,48,1-2-4,69,0.00543735,deuteronomy,continuous,continuous
3,49,1-1-3,66,0.00520095,deuteronomy,continuous,continuous
3,50,3-3-5,65,0.00512214,deuteronomy,continuous,continuous
4,1,2-2-2-2,341,0.02687367,deuteronomy,continuous,continuous
4,2,2-2-3-2,245,0.01930806,deuteronomy,continuous,continuous
4,3,3-2-2-2,238,0.0187564,deuteronomy,continuous,continuous
4,4,2-3-2-2,233,0.01836236,deuteronomy,continuous,continuous
4,5,2-2-2-3,210,0.01654977,deuteronomy,continuous,continuous
4,6,2-2-3-3,203,0.01599811,deuteronomy,continuous,continuous
4,7,2-3-3-2,199,0.01568287,deuteronomy,continuous,continuous
4,8,3-3-2-2,188,0.01481598,deuteronomy,continuous,continuous
4,9,3-2-2-3,186,0.01465837,deuteronomy,continuous,continuous
4,10,3-2-3-2,184,0.01450075,deuteronomy,continuous,continuous
4,11,2-3-2-3,179,0.01410671,deuteronomy,continuous,continuous
4,12,2-3-3-3,175,0.01379147,deuteronomy,continuous,continuous
4,13,3-2-3-3,160,0.01260935,deuteronomy,continuous,continuous
4,14,3-3-3-3,160,0.01260935,deuteronomy,continuous,continuous
4,15,3-3-3-2,156,0.01229411,deuteronomy,continuous,continuous
4,16,3-3-2-3,154,0.0121365,deuteronomy,continuous,continuous
4,17,2-2-2-1,106,0.00835369,deuteronomy,continuous,continuous
4,18,2-1-2-2,101,0.00795965,deuteronomy,continuous,continuous
4,19,2-2-1-2,97,0.00764442,deuteronomy,continuous,continuous
4,20,2-2-2-4,93,0.00732918,deuteronomy,continuous,continuous
4,21,1-2-2-2,93,0.00732918,deuteronomy,continuous,continuous
4,22,2-1-3-2,92,0.00725037,deuteronomy,continuous,continuous
4,23,1-3-2-2,91,0.00717157,deuteronomy,continuous,continuous
4,24,4-2-2-3,87,0.00685633,deuteronomy,continuous,continuous
4,25,3-2-2-1,84,0.00661991,deuteronomy,continuous,continuous
4,26,2-3-1-2,83,0.0065411,deuteronomy,continuous,continuous
4,27,2-2-4-2,81,0.00638348,deuteronomy,continuous,continuous
4,28,2-3-3-4,79,0.00622586,deuteronomy,continuous,continuous
4,29,3-2-1-2,79,0.00622586,deuteronomy,continuous,continuous
4,30,2-1-2-3,77,0.00606825,deuteronomy,continuous,continuous
4,31,3-3-4-2,77,0.00606825,deuteronomy,continuous,continuous
4,32,4-2-3-3,75,0.00591063,deuteronomy,continuous,continuous
4,33,3-2-4-2,74,0.00583182,deuteronomy,continuous,continuous
4,34,3-3-2-1,74,0.00583182,deuteronomy,continuous,continuous
4,35,2-4-2-3,72,0.00567421,deuteronomy,continuous,continuous
4,36,2-4-2-2,71,0.0055954,deuteronomy,continuous,continuous
4,37,3-4-2-2,71,0.0055954,deuteronomy,continuous,continuous
4,38,2-2-4-3,71,0.0055954,deuteronomy,continuous,continuous
4,39,1-2-2-3,70,0.00551659,deuteronomy,continuous,continuous
4,40,4-2-2-2,69,0.00543778,deuteronomy,continuous,continuous
4,41,3-3-4-3,69,0.00543778,deuteronomy,continuous,continuous
4,42,2-2-3-1,69,0.00543778,deuteronomy,continuous,continuous
4,43,2-2-1-3,68,0.00535897,deuteronomy,continuous,continuous
4,44,2-3-2-4,68,0.00535897,deuteronomy,continuous,continuous
4,45,3-3-3-4,68,0.00535897,deuteronomy,continuous,continuous
4,46,3-1-2-2,66,0.00520136,deuteronomy,continuous,continuous
4,47,2-3-2-1,66,0.00520136,deuteronomy,continuous,continuous
4,48,2-4-3-2,65,0.00512255,deuteronomy,continuous,continuous
4,49,4-3-3-3,64,0.00504374,deuteronomy,continuous,continuous
4,50,3-4-3-3,64,0.00504374,deuteronomy,continuous,continuous
5,1,2-2-2-2-2,154,0.01213745,deuteronomy,continuous,continuous
5,2,3-2-2-2-2,109,0.00859079,deuteronomy,continuous,continuous
5,3,2-2-3-2-2,97,0.00764502,deuteronomy,continuous,continuous
5,4,2-3-2-2-2,96,0.0075662,deuteronomy,continuous,continuous
5,5,2-2-2-3-2,93,0.00732976,deuteronomy,continuous,continuous
5,6,2-2-2-2-3,87,0.00685687,deuteronomy,continuous,continuous
5,7,2-2-3-2-3,83,0.00654161,deuteronomy,continuous,continuous
5,8,3-2-2-3-2,80,0.00630517,deuteronomy,continuous,continuous
5,9,2-3-3-2-2,78,0.00614754,deuteronomy,continuous,continuous
5,10,2-3-2-2-3,76,0.00598991,deuteronomy,continuous,continuous
5,11,3-2-3-2-2,74,0.00583228,deuteronomy,continuous,continuous
5,12,2-3-2-3-2,72,0.00567465,deuteronomy,continuous,continuous
5,13,2-2-3-3-2,72,0.00567465,deuteronomy,continuous,continuous
5,14,2-2-3-3-3,69,0.00543821,deuteronomy,continuous,continuous
5,15,3-3-2-2-3,68,0.00535939,deuteronomy,continuous,continuous
5,16,3-2-2-3-3,68,0.00535939,deuteronomy,continuous,continuous
5,17,2-3-3-3-2,67,0.00528058,deuteronomy,continuous,continuous
5,18,2-2-2-3-3,67,0.00528058,deuteronomy,continuous,continuous
5,19,2-3-2-3-3,65,0.00512295,deuteronomy,continuous,continuous
5,20,3-2-2-2-3,65,0.00512295,deuteronomy,continuous,continuous
5,21,3-3-2-2-2,64,0.00504414,deuteronomy,continuous,continuous
5,22,2-3-3-2-3,63,0.00496532,deuteronomy,continuous,continuous
5,23,2-3-3-3-3,60,0.00472888,deuteronomy,continuous,continuous
5,24,3-2-3-3-3,58,0.00457125,deuteronomy,continuous,continuous
5,25,3-2-3-2-3,57,0.00449243,deuteronomy,continuous,continuous
5,26,3-2-3-3-2,57,0.00449243,deuteronomy,continuous,continuous
5,27,3-3-3-2-2,56,0.00441362,deuteronomy,continuous,continuous
5,28,3-3-2-3-2,55,0.0043348,deuteronomy,continuous,continuous
5,29,3-3-2-3-3,54,0.00425599,deuteronomy,continuous,continuous
5,30,3-3-3-3-3,54,0.00425599,deuteronomy,continuous,continuous
5,31,2-2-2-2-1,53,0.00417718,deuteronomy,continuous,continuous
5,32,3-3-3-3-2,44,0.00346784,deuteronomy,continuous,continuous
5,33,3-3-3-2-3,43,0.00338903,deuteronomy,continuous,continuous
5,34,1-2-2-2-2,43,0.00338903,deuteronomy,continuous,continuous
5,35,1-3-2-2-2,42,0.00331021,deuteronomy,continuous,continuous
5,36,2-2-2-1-2,41,0.0032314,deuteronomy,continuous,continuous
5,37,2-1-3-2-2,41,0.0032314,deuteronomy,continuous,continuous
5,38,2-2-2-2-4,39,0.00307377,deuteronomy,continuous,continuous
5,39,2-1-2-2-2,38,0.00299496,deuteronomy,continuous,continuous
5,40,2-2-1-3-2,36,0.00283733,deuteronomy,continuous,continuous
5,41,2-3-3-4-2,35,0.00275851,deuteronomy,continuous,continuous
5,42,2-2-1-2-2,34,0.0026797,deuteronomy,continuous,continuous
5,43,2-3-3-2-1,34,0.0026797,deuteronomy,continuous,continuous
5,44,4-2-2-3-3,33,0.00260088,deuteronomy,continuous,continuous
5,45,4-2-2-3-2,33,0.00260088,deuteronomy,continuous,continuous
5,46,2-3-1-2-2,33,0.00260088,deuteronomy,continuous,continuous
5,47,2-2-2-4-2,33,0.00260088,deuteronomy,continuous,continuous
