interval,count,share,cum_share,book,model,relation
1,1788,0.12225641,0.12225641,exodus,continuous,continuous
2,5912,0.40423932,0.52649573,exodus,continuous,continuous
3,4534,0.31001709,0.83651282,exodus,continuous,continuous
4,1789,0.12232479,0.95883761,exodus,continuous,continuous
5,483,0.03302564,0.99186325,exodus,continuous,continuous
6,101,0.00690598,0.99876923,exodus,continuous,continuous
7,16,0.00109402,0.99986325,exodus,continuous,continuous
8,2,0.00013675,1.0,exodus,continuous,continuous
1,1678,0.12502794,0.12502794,exodus,sof_only,within
2,5500,0.40980553,0.53483347,exodus,sof_only,within
3,4121,0.30705611,0.84188958,exodus,sof_only,within
4,1582,0.11787497,0.95976455,exodus,sof_only,within
5,429,0.03196483,0.99172938,exodus,sof_only,within
6,93,0.00692944,0.99865882,exodus,sof_only,within
7,16,0.00119216,0.99985098,exodus,sof_only,within
8,2,0.00014902,1.0,exodus,sof_only,within
1,110,0.09136213,0.09136213,exodus,sof_only,cross_reset
2,412,0.34219269,0.43355482,exodus,sof_only,cross_reset
3,413,0.34302326,0.77657807,exodus,sof_only,cross_reset
4,207,0.17192691,0.94850498,exodus,sof_only,cross_reset
5,54,0.0448505,0.99335548,exodus,sof_only,cross_reset
6,8,0.00664452,1.0,exodus,sof_only,cross_reset
1,1788,0.12225641,0.12225641,exodus,sof_only,all
2,5912,0.40423932,0.52649573,exodus,sof_only,all
3,4534,0.31001709,0.83651282,exodus,sof_only,all
4,1789,0.12232479,0.95883761,exodus,sof_only,all
5,483,0.03302564,0.99186325,exodus,sof_only,all
6,101,0.00690598,0.99876923,exodus,sof_only,all
7,16,0.00109402,0.99986325,exodus,sof_only,all
8,2,0.00013675,1.0,exodus,sof_only,all
1,1515,0.12341153,0.12341153,exodus,major,within
2,5098,0.41528185,0.53869339,exodus,major,within
3,3784,0.30824373,0.84693711,exodus,major,within
4,1398,0.11388074,0.96081786,exodus,major,within
5,380,0.03095471,0.99177256,exodus,major,within
6,86,0.00700554,0.9987781,exodus,major,within
7,13,0.00105898,0.99983708,exodus,major,within
8,2,0.00016292,1.0,exodus,major,within
1,273,0.11621967,0.11621967,exodus,major,cross_reset
2,814,0.34653044,0.46275011,exodus,major,cross_reset
3,750,0.3192848,0.78203491,exodus,major,cross_reset
4,391,0.16645381,0.94848872,exodus,major,cross_reset
5,103,0.04384845,0.99233716,exodus,major,cross_reset
6,15,0.0063857,0.99872286,exodus,major,cross_reset
7,3,0.00127714,1.0,exodus,major,cross_reset
1,1788,0.12225641,0.12225641,exodus,major,all
2,5912,0.40423932,0.52649573,exodus,major,all
3,4534,0.31001709,0.83651282,exodus,major,all
4,1789,0.12232479,0.95883761,exodus,major,all
5,483,0.03302564,0.99186325,exodus,major,all
6,101,0.00690598,0.99876923,exodus,major,all
7,16,0.00109402,0.99986325,exodus,major,all
8,2,0.00013675,1.0,exodus,major,all
1,1142,0.11287931,0.11287931,exodus,major_minor,within
2,4371,0.43204507,0.54492438,exodus,major_minor,within
3,3161,0.3124444,0.85736879,exodus,major_minor,within
4,1105,0.1092221,0.96659089,exodus,major_minor,within
5,272,0.02688544,0.99347633,exodus,major_minor,within
6,53,0.00523871,0.99871503,exodus,major_minor,within
7,11,0.00108728,0.99980231,exodus,major_minor,within
8,2,0.00019769,1.0,exodus,major_minor,within
1,646,0.1433008,0.1433008,exodus,major_minor,cross_reset
2,1541,0.34183673,0.48513753,exodus,major_minor,cross_reset
3,1373,0.30456965,0.78970719,exodus,major_minor,cross_reset
4,684,0.15173026,0.94143744,exodus,major_minor,cross_reset
5,211,0.04680568,0.98824312,exodus,major_minor,cross_reset
6,48,0.01064774,0.99889086,exodus,major_minor,cross_reset
7,5,0.00110914,1.0,exodus,major_minor,cross_reset
1,1788,0.12225641,0.12225641,exodus,major_minor,all
2,5912,0.40423932,0.52649573,exodus,major_minor,all
3,4534,0.31001709,0.83651282,exodus,major_minor,all
4,1789,0.12232479,0.95883761,exodus,major_minor,all
5,483,0.03302564,0.99186325,exodus,major_minor,all
6,101,0.00690598,0.99876923,exodus,major_minor,all
7,16,0.00109402,0.99986325,exodus,major_minor,all
8,2,0.00013675,1.0,exodus,major_minor,all
