from_shape,to_shape,count,p_to_given_from,p_to_background,lift,book,level,shape_field,transition_accent_mode
P<=4_A3_C0,P<=4_A3_C0,330,0.27431421,0.26685892,1.02793722,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,247,0.33975241,0.26685892,1.27315366,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A4_C0,236,0.19617623,0.19764862,0.99255042,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A2_C0,206,0.17123857,0.16126886,1.06182046,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A3_C0,206,0.2312009,0.26685892,0.86637876,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A4_C0,173,0.19416386,0.19764862,0.98236889,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,169,0.23246217,0.19764862,1.17613858,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,152,0.17059484,0.16126886,1.05782878,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A3_C0,90,0.27272727,0.26685892,1.02199048,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A2_C0,85,0.11691884,0.16126886,0.72499333,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A5_C0,85,0.07065669,0.07342502,0.96229718,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A3_C0,83,0.32046332,0.26685892,1.20087169,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,78,0.06483791,0.05723159,1.13290417,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A6-7_C0,67,0.0556941,0.05479148,1.01647366,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,66,0.05486284,0.04591837,1.1947908,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A5_C0,66,0.07407407,0.07342502,1.00883966,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,60,0.06734007,0.05723159,1.17662412,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A4_C0,60,0.24489796,0.19764862,1.23905724,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A3_C0,59,0.24081633,0.26685892,0.90241064,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A3_C0,58,0.23481781,0.26685892,0.87993242,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A4_C0,57,0.06397306,0.05434783,1.17710438,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A2_C0,54,0.16363636,0.16126886,1.01468051,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A4_C0,53,0.16060606,0.19764862,0.81258375,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,51,0.1969112,0.19764862,0.996269,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A4_C0,51,0.04239401,0.05434783,0.78004988,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A3_C0,47,0.22705314,0.26685892,0.85083587,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,46,0.05162738,0.0350488,1.47301425,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A5_C0,45,0.06189821,0.07342502,0.8430125,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A2_C0,45,0.18367347,0.16126886,1.1389271,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A2_C0,43,0.16602317,0.16126886,1.02948065,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,43,0.17408907,0.16126886,1.0794959,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A6-7_C0,41,0.04601571,0.05479148,0.83983333,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A5_C0,40,0.04489338,0.04591837,0.97767801,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A6-7_C0,39,0.05364512,0.05479148,0.97907768,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A4_C0,37,0.14979757,0.19764862,0.75789837,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A4_C0,36,0.17391304,0.19764862,0.87991021,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A3_C0,36,0.2278481,0.26685892,0.85381483,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A2_C0,33,0.15942029,0.16126886,0.98853737,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A5_C0,33,0.04539202,0.04591837,0.98853737,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,32,0.20253165,0.19764862,1.02470556,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A0-1_C0,31,0.04264099,0.05723159,0.74506041,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A5_C0,30,0.12145749,0.07342502,1.65417029,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P5-6_A4_C0,27,0.03713893,0.05434783,0.68335626,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,27,0.08181818,0.05434783,1.50545455,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A6-7_C0,26,0.02161264,0.0350488,0.61664404,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,24,0.07272727,0.07342502,0.99049712,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A6-7_C0,24,0.07272727,0.05479148,1.32734634,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A2_C0,23,0.14556962,0.16126886,0.90265179,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A6-7_C0,22,0.03026135,0.0350488,0.86340606,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A5_C0,21,0.08571429,0.07342502,1.1673716,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A0-1_C0,18,0.08695652,0.05723159,1.51937984,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P7-9_A8+_C0,18,0.01496259,0.01486247,1.00673689,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A5_C0,17,0.06563707,0.04591837,1.42942943,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A4_C0,17,0.0821256,0.05434783,1.51111111,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A0-1_C0,17,0.06882591,0.05723159,1.20258607,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A6-7_C0,16,0.06177606,0.05479148,1.12747565,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A6-7_C0,16,0.04848485,0.0350488,1.38335251,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A5_C0,16,0.07729469,0.07342502,1.05270225,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A6-7_C0,16,0.06530612,0.05479148,1.19190283,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P5-6_A4_C0,15,0.09493671,0.05434783,1.74683544,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A3_C0,14,0.20895522,0.26685892,0.78301758,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A4_C0,14,0.20895522,0.19764862,1.05720555,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A0-1_C0,13,0.08227848,0.05723159,1.43764106,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A0-1_C0,13,0.05306122,0.05723159,0.92713178,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P7-9_A6-7_C0,13,0.05263158,0.0350488,1.50166556,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A4_C0,12,0.048583,0.05434783,0.89392713,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,12,0.04633205,0.07342502,0.63101168,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A2_C0,12,0.17910448,0.16126886,1.11059558,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A6-7_C0,12,0.048583,0.05479148,0.88668885,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A4_C0,12,0.04633205,0.05434783,0.85250965,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,12,0.03636364,0.04591837,0.79191919,exodus,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P5-6_A5_C0,12,0.07594937,0.07342502,1.0343799,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P5-6_A3_C0,11,0.01234568,0.00998225,1.23676269,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P5-6_A3_C0,11,0.00914381,0.00998225,0.91600628,exodus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A0-1_C0,11,0.03333333,0.05723159,0.58242894,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C0,10,0.01122334,0.01486247,0.75514682,exodus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C0,10,0.01122334,0.00709849,1.58108866,exodus,minor,transition_bucket_shape,taam_events
P10-12_A8+_C0,P<=4_A3_C0,10,0.3125,0.26685892,1.17103076,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P5-6_A6-7_C0,10,0.04830918,0.05479148,0.88169141,exodus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P7-9_A8+_C0,10,0.01375516,0.01486247,0.92549631,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P<=4_A5_C0,9,0.03673469,0.04591837,0.8,exodus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P7-9_A6-7_C0,9,0.03474903,0.0350488,0.99144714,exodus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P5-6_A5_C0,9,0.13432836,0.07342502,1.82946296,exodus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A5_C0,9,0.03643725,0.04591837,0.79352227,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A3_C0,9,0.2,0.26685892,0.74945968,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A4_C0,8,0.03265306,0.05434783,0.60081633,exodus,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P7-9_A6-7_C0,8,0.03265306,0.0350488,0.93164557,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P10-12_A8+_C0,8,0.00665004,0.00709849,0.93682461,exodus,minor,transition_bucket_shape,taam_events
P<=4_A5_C0,P<=4_A5_C0,8,0.03864734,0.04591837,0.84165325,exodus,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P<=4_A4_C0,8,0.17777778,0.19764862,0.89946377,exodus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A6-7_C0,7,0.00581879,0.00754215,0.77150262,exodus,minor,transition_bucket_shape,taam_events
