from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P<=4_A2_C0,P<=4_A4_C0,125,0.24850895,0.18719532,1.32753824,94.588,7.82154775,3.888233,0.00199601,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A0-1_C0,16,0.09467456,0.04777381,1.98172523,8.014,2.80955356,2.842444,0.01397206,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,151,0.30019881,0.24894378,1.20588999,125.652,9.05820059,2.798348,0.00399202,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A0-1_C0,36,0.0625,0.04777381,1.3082483,27.634,4.65310076,1.797941,0.05588822,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A5_C0,32,0.11764706,0.08839779,1.33088235,23.826,4.60936182,1.773347,0.05588822,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P5-6_A5_C0,18,0.12244898,0.08839779,1.38520408,12.958,3.31454498,1.521174,0.08782435,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A0-1_C0,P<=4_A4_C0,33,0.2244898,0.18719532,1.19922761,27.366,4.58236185,1.229497,0.1257485,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,20,0.07352941,0.05687358,1.29285714,15.47,3.85938982,1.173761,0.15169661,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P<=4_A5_C0,18,0.06617647,0.05264868,1.25694444,14.234,3.45007972,1.091569,0.17365269,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,46,0.06013072,0.05264868,1.14211248,40.368,5.465191,1.030522,0.18363273,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P7-9_A8+_C0,P<=4_A3_C0,19,0.30645161,0.24894378,1.23100733,15.434,3.55343465,1.003536,0.19161677,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,101,0.17534722,0.16314592,1.07478765,93.904,8.06006907,0.880389,0.22355289,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A6-7_C0,26,0.04513889,0.03899903,1.15743634,22.428,4.17992339,0.854561,0.23952096,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P<=4_A2_C0,31,0.18343195,0.16314592,1.12434287,27.24,4.49118486,0.837196,0.25748503,upper,screening_selected_transition,leviticus,minor,transition_bucket_shape,taam_events
