shape_field,n_segments,unique_shapes,entropy_norm,top1,top1_share,top3,top3_share,top5,top5_share,top10,top10_share,top20,top20_share,book,level
shape_PA,3812,125,0.77218471,P7_A3,0.07843652,P7_A3+P8_A3+P9_A3,0.2116999,P7_A3+P8_A3+P9_A3+P6_A3+P5_A2,0.32082896,P7_A3+P8_A3+P9_A3+P6_A3+P5_A2+P6_A2+P7_A2+P10_A4+P4_A2+P10_A3,0.51206716,P7_A3+P8_A3+P9_A3+P6_A3+P5_A2+P6_A2+P7_A2+P10_A4+P4_A2+P10_A3+P5_A3+P9_A4+P11_A4+P3_A1+P2_A1+P8_A4+P12_A4+P4_A1+P11_A3+P8_A2,0.73504722,deuteronomy,minor
bucket_PA,3812,32,0.78301569,P7-9_A3,0.2116999,P7-9_A3+P5-6_A2+P5-6_A3,0.39952781,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P1-4_A0-1,0.55115425,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P1-4_A0-1+P7-9_A2+P7-9_A4+P10-12_A3+P1-4_A2+P10-12_A5,0.82135362,P7-9_A3+P5-6_A2+P5-6_A3+P10-12_A4+P1-4_A0-1+P7-9_A2+P7-9_A4+P10-12_A3+P1-4_A2+P10-12_A5+P13-15_A5+P13-15_A4+P13-15_A6-7+P16-18_A6-7+P19-24_A6-7+P19-24_A8++P25+_A8++P10-12_A6-7+P16-18_A5+P7-9_A5,0.97324239,deuteronomy,minor
shape_PAW,3812,276,0.78659761,P7_A3_W3,0.06007345,P7_A3_W3+P8_A3_W3+P6_A3_W3,0.15398741,P7_A3_W3+P8_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2,0.23242392,P7_A3_W3+P8_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2+P9_A3_W3+P4_A2_W2+P5_A3_W3+P7_A2_W2+P2_A1_W1,0.37670514,P7_A3_W3+P8_A3_W3+P6_A3_W3+P5_A2_W2+P6_A2_W2+P9_A3_W3+P4_A2_W2+P5_A3_W3+P7_A2_W2+P2_A1_W1+P10_A4_W4+P3_A1_W1+P9_A3_W4+P8_A3_W4+P8_A4_W4+P7_A3_W4+P9_A4_W4+P11_A4_W4+P10_A3_W3+P4_A1_W1,0.55220357,deuteronomy,minor
bucket_PAW,3812,66,0.74188,P7-9_A3_W3-4,0.20146905,P7-9_A3_W3-4+P5-6_A3_W3-4+P5-6_A2_W1-2,0.36673662,P7-9_A3_W3-4+P5-6_A3_W3-4+P5-6_A2_W1-2+P1-4_A0-1_W1-2+P7-9_A4_W3-4,0.48426023,P7-9_A3_W3-4+P5-6_A3_W3-4+P5-6_A2_W1-2+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P1-4_A2_W1-2+P10-12_A4_W3-4+P10-12_A3_W3-4+P10-12_A5_W5-6+P7-9_A2_W1-2,0.69412382,P7-9_A3_W3-4+P5-6_A3_W3-4+P5-6_A2_W1-2+P1-4_A0-1_W1-2+P7-9_A4_W3-4+P1-4_A2_W1-2+P10-12_A4_W3-4+P10-12_A3_W3-4+P10-12_A5_W5-6+P7-9_A2_W1-2+P10-12_A4_W5-6+P13-15_A5_W5-6+P7-9_A2_W3-4+P5-6_A2_W3-4+P7-9_A4_W5-6+P13-15_A4_W5-6+P16-18_A6-7_W7-8+P13-15_A4_W3-4+P10-12_A3_W5-6+P13-15_A6-7_W5-6,0.88064008,deuteronomy,minor
shape_PA,1862,250,0.88075131,P8_A3,0.02631579,P8_A3+P10_A4+P7_A3,0.07196563,P8_A3+P10_A4+P7_A3+P12_A5+P17_A6,0.11385607,P8_A3+P10_A4+P7_A3+P12_A5+P17_A6+P11_A4+P9_A3+P15_A6+P11_A5+P13_A5,0.2094522,P8_A3+P10_A4+P7_A3+P12_A5+P17_A6+P11_A4+P9_A3+P15_A6+P11_A5+P13_A5+P14_A5+P6_A3+P16_A6+P9_A4+P15_A5+P18_A7+P14_A6+P12_A6+P10_A3+P21_A8,0.36734694,deuteronomy,major
bucket_PA,1862,29,0.81471489,P25+_A8+,0.20085929,P25+_A8++P19-24_A8++P16-18_A6-7,0.41729323,P25+_A8++P19-24_A8++P16-18_A6-7+P7-9_A3+P13-15_A6-7,0.54833512,P25+_A8++P19-24_A8++P16-18_A6-7+P7-9_A3+P13-15_A6-7+P10-12_A4+P13-15_A5+P10-12_A5+P19-24_A6-7+P7-9_A4,0.79323308,P25+_A8++P19-24_A8++P16-18_A6-7+P7-9_A3+P13-15_A6-7+P10-12_A4+P13-15_A5+P10-12_A5+P19-24_A6-7+P7-9_A4+P5-6_A3+P13-15_A4+P16-18_A8++P10-12_A6-7+P10-12_A3+P16-18_A5+P5-6_A2+P7-9_A2+P1-4_A2+P7-9_A5,0.98066595,deuteronomy,major
shape_PAW,1862,544,0.90936233,P7_A3_W3,0.01718582,P7_A3_W3+P8_A3_W3+P11_A4_W4,0.04672395,P7_A3_W3+P8_A3_W3+P11_A4_W4+P10_A4_W4+P11_A5_W5,0.07250269,P7_A3_W3+P8_A3_W3+P11_A4_W4+P10_A4_W4+P11_A5_W5+P15_A6_W6+P8_A4_W4+P6_A3_W3+P9_A3_W3+P12_A5_W6,0.12352309,P7_A3_W3+P8_A3_W3+P11_A4_W4+P10_A4_W4+P11_A5_W5+P15_A6_W6+P8_A4_W4+P6_A3_W3+P9_A3_W3+P12_A5_W6+P12_A6_W6+P12_A5_W5+P5_A3_W3+P17_A6_W6+P10_A5_W5+P15_A5_W6+P17_A6_W7+P8_A3_W4+P9_A4_W5+P10_A4_W5,0.21482277,deuteronomy,major
bucket_PAW,1862,59,0.81536384,P25+_A8+_W13+,0.11331901,P25+_A8+_W13++P19-24_A8+_W9-12+P25+_A8+_W9-12,0.30880773,P25+_A8+_W13++P19-24_A8+_W9-12+P25+_A8+_W9-12+P7-9_A3_W3-4+P16-18_A6-7_W7-8,0.43340494,P25+_A8+_W13++P19-24_A8+_W9-12+P25+_A8+_W9-12+P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A5_W5-6+P13-15_A5_W5-6+P13-15_A6-7_W7-8+P10-12_A4_W3-4+P5-6_A3_W3-4,0.62459721,P25+_A8+_W13++P19-24_A8+_W9-12+P25+_A8+_W9-12+P7-9_A3_W3-4+P16-18_A6-7_W7-8+P10-12_A5_W5-6+P13-15_A5_W5-6+P13-15_A6-7_W7-8+P10-12_A4_W3-4+P5-6_A3_W3-4+P19-24_A6-7_W7-8+P13-15_A6-7_W5-6+P7-9_A4_W3-4+P10-12_A4_W5-6+P16-18_A6-7_W5-6+P10-12_A3_W3-4+P19-24_A8+_W7-8+P19-24_A6-7_W9-12+P5-6_A2_W1-2+P10-12_A6-7_W5-6,0.82277121,deuteronomy,major
shape_PA,954,344,0.9535361,P40_A15,0.01257862,P40_A15+P24_A10+P20_A8,0.03563941,P40_A15+P24_A10+P20_A8+P30_A12+P29_A11,0.05660377,P40_A15+P24_A10+P20_A8+P30_A12+P29_A11+P21_A9+P38_A14+P26_A11+P26_A10+P35_A14,0.10167715,P40_A15+P24_A10+P20_A8+P30_A12+P29_A11+P21_A9+P38_A14+P26_A11+P26_A10+P35_A14+P35_A13+P31_A12+P25_A10+P35_A15+P32_A13+P30_A11+P28_A10+P32_A11+P32_A12+P18_A8,0.17924528,deuteronomy,verse
bucket_PA,954,21,0.36627046,P25+_A8+,0.7442348,P25+_A8++P19-24_A8++P16-18_A6-7,0.87840671,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A6-7,0.92872117,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A6-7+P16-18_A8++P10-12_A6-7+P13-15_A5+P10-12_A4+P16-18_A5,0.9706499,P25+_A8++P19-24_A8++P16-18_A6-7+P19-24_A6-7+P13-15_A6-7+P16-18_A8++P10-12_A6-7+P13-15_A5+P10-12_A4+P16-18_A5+P10-12_A3+P10-12_A5+P7-9_A3+P1-4_A2+P25+_A6-7+P7-9_A5+P16-18_A4+P13-15_A4+P13-15_A8++P5-6_A3,0.99895178,deuteronomy,verse
shape_PAW,954,660,0.9806155,P25_A10_W11,0.00628931,P25_A10_W11+P20_A7_W8+P40_A15_W16,0.01677149,P25_A10_W11+P20_A7_W8+P40_A15_W16+P24_A10_W11+P30_A12_W13,0.02725367,P25_A10_W11+P20_A7_W8+P40_A15_W16+P24_A10_W11+P30_A12_W13+P24_A10_W10+P26_A10_W11+P19_A7_W8+P17_A6_W6+P18_A7_W7,0.04926625,P25_A10_W11+P20_A7_W8+P40_A15_W16+P24_A10_W11+P30_A12_W13+P24_A10_W10+P26_A10_W11+P19_A7_W8+P17_A6_W6+P18_A7_W7+P20_A8_W9+P29_A11_W11+P32_A11_W12+P35_A13_W14+P40_A15_W17+P29_A11_W13+P16_A6_W6+P31_A12_W14+P30_A10_W12+P38_A14_W15,0.09119497,deuteronomy,verse
bucket_PAW,954,37,0.44779111,P25+_A8+_W13+,0.61320755,P25+_A8+_W13++P25+_A8+_W9-12+P19-24_A8+_W9-12,0.83018868,P25+_A8+_W13++P25+_A8+_W9-12+P19-24_A8+_W9-12+P16-18_A6-7_W7-8+P19-24_A6-7_W7-8,0.86268344,P25+_A8+_W13++P25+_A8+_W9-12+P19-24_A8+_W9-12+P16-18_A6-7_W7-8+P19-24_A6-7_W7-8+P13-15_A6-7_W7-8+P16-18_A8+_W9-12+P16-18_A6-7_W5-6+P19-24_A8+_W7-8+P19-24_A6-7_W9-12,0.91823899,P25+_A8+_W13++P25+_A8+_W9-12+P19-24_A8+_W9-12+P16-18_A6-7_W7-8+P19-24_A6-7_W7-8+P13-15_A6-7_W7-8+P16-18_A8+_W9-12+P16-18_A6-7_W5-6+P19-24_A8+_W7-8+P19-24_A6-7_W9-12+P13-15_A5_W5-6+P13-15_A6-7_W5-6+P16-18_A6-7_W9-12+P16-18_A8+_W7-8+P10-12_A6-7_W7-8+P19-24_A8+_W13++P10-12_A5_W5-6+P7-9_A3_W3-4+P16-18_A5_W5-6+P10-12_A3_W3-4,0.9706499,deuteronomy,verse
