ngram_n,rank,pattern,count,share,book,model,relation
2,1,2-2,2890,0.15943068,genesis,continuous,continuous
2,2,3-2,2404,0.13261985,genesis,continuous,continuous
2,3,2-3,2369,0.13068903,genesis,continuous,continuous
2,4,3-3,1746,0.09632041,genesis,continuous,continuous
2,5,2-1,910,0.05020136,genesis,continuous,continuous
2,6,4-2,876,0.0483257,genesis,continuous,continuous
2,7,2-4,872,0.04810504,genesis,continuous,continuous
2,8,1-2,860,0.04744304,genesis,continuous,continuous
2,9,3-1,818,0.04512606,genesis,continuous,continuous
2,10,1-3,770,0.04247807,genesis,continuous,continuous
2,11,4-3,627,0.03458929,genesis,continuous,continuous
2,12,3-4,574,0.03166547,genesis,continuous,continuous
2,13,1-4,359,0.01980471,genesis,continuous,continuous
2,14,4-1,325,0.01792906,genesis,continuous,continuous
2,15,1-1,286,0.01577757,genesis,continuous,continuous
2,16,4-4,204,0.01125393,genesis,continuous,continuous
2,17,5-2,198,0.01092293,genesis,continuous,continuous
2,18,2-5,197,0.01086777,genesis,continuous,continuous
2,19,5-3,142,0.00783362,genesis,continuous,continuous
2,20,3-5,124,0.00684062,genesis,continuous,continuous
2,21,1-5,115,0.00634413,genesis,continuous,continuous
2,22,5-1,81,0.00446847,genesis,continuous,continuous
2,23,5-4,64,0.00353064,genesis,continuous,continuous
2,24,6-2,48,0.00264798,genesis,continuous,continuous
2,25,4-5,47,0.00259282,genesis,continuous,continuous
2,26,1-6,39,0.00215149,genesis,continuous,continuous
2,27,2-6,36,0.00198599,genesis,continuous,continuous
2,28,6-3,24,0.00132399,genesis,continuous,continuous
2,29,3-6,16,0.00088266,genesis,continuous,continuous
2,30,6-1,16,0.00088266,genesis,continuous,continuous
2,31,6-4,11,0.00060683,genesis,continuous,continuous
2,32,1-7,10,0.00055166,genesis,continuous,continuous
2,33,7-3,9,0.0004965,genesis,continuous,continuous
2,34,5-5,9,0.0004965,genesis,continuous,continuous
2,35,4-6,8,0.00044133,genesis,continuous,continuous
2,36,2-7,8,0.00044133,genesis,continuous,continuous
2,37,7-1,5,0.00027583,genesis,continuous,continuous
2,38,3-7,4,0.00022067,genesis,continuous,continuous
2,39,7-4,4,0.00022067,genesis,continuous,continuous
2,40,7-2,4,0.00022067,genesis,continuous,continuous
2,41,5-6,3,0.0001655,genesis,continuous,continuous
2,42,6-5,3,0.0001655,genesis,continuous,continuous
2,43,8-2,2,0.00011033,genesis,continuous,continuous
2,44,4-7,2,0.00011033,genesis,continuous,continuous
2,45,7-5,2,0.00011033,genesis,continuous,continuous
2,46,1-8,2,0.00011033,genesis,continuous,continuous
2,47,8-4,2,0.00011033,genesis,continuous,continuous
2,48,2-8,1,5.517e-05,genesis,continuous,continuous
2,49,4-8,1,5.517e-05,genesis,continuous,continuous
3,1,2-2-2,1155,0.06372062,genesis,continuous,continuous
3,2,2-3-2,1003,0.05533488,genesis,continuous,continuous
3,3,2-2-3,930,0.05130751,genesis,continuous,continuous
3,4,3-2-2,925,0.05103167,genesis,continuous,continuous
3,5,3-2-3,833,0.04595609,genesis,continuous,continuous
3,6,2-3-3,735,0.04054949,genesis,continuous,continuous
3,7,3-3-2,727,0.04010813,genesis,continuous,continuous
3,8,3-3-3,577,0.03183273,genesis,continuous,continuous
3,9,2-2-4,365,0.02013682,genesis,continuous,continuous
3,10,2-4-2,365,0.02013682,genesis,continuous,continuous
3,11,1-2-2,356,0.0196403,genesis,continuous,continuous
3,12,2-2-1,350,0.01930928,genesis,continuous,continuous
3,13,2-3-1,347,0.01914377,genesis,continuous,continuous
3,14,4-2-2,345,0.01903343,genesis,continuous,continuous
3,15,1-3-2,333,0.0183714,genesis,continuous,continuous
3,16,2-1-2,320,0.0176542,genesis,continuous,continuous
