metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,3.03856415,3.03856415,0,0,,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,,,
conditional_entropy,2.98882017,3.00307597,0.00262236,-5.436248,0.00990099,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,lower,,
entropy_reduction,0.04974398,0.03548818,0.00262236,5.436248,0.00990099,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,,
in_sample_next_accuracy,0.26853463,0.26768013,0.00105473,0.810169,0.26732673,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,,
cv_next_accuracy,0.26347826,0.26224348,0.01052311,0.11734,0.46534653,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,4596,1150
unigram_entropy,4.21792664,4.21792664,0,0,,genesis,minor,transition_exact_shape,5747,71,random,taam_events,,,
conditional_entropy,3.98653821,4.01435559,0.00517618,-5.374119,0.00990099,genesis,minor,transition_exact_shape,5747,71,random,taam_events,lower,,
entropy_reduction,0.23138844,0.20357106,0.00517618,5.374119,0.00990099,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,,
in_sample_next_accuracy,0.17020536,0.16407762,0.0016172,3.789103,0.00990099,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,,
cv_next_accuracy,0.16173913,0.1438,0.00948838,1.890643,0.02970297,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,4596,1150
unigram_entropy,4.64246121,4.64246121,0,0,,genesis,major,transition_bucket_shape,2996,56,random,taam_events,,,
conditional_entropy,4.22829379,4.25174435,0.01084816,-2.161708,0.01980198,genesis,major,transition_bucket_shape,2996,56,random,taam_events,lower,,
entropy_reduction,0.41416742,0.39071686,0.01084816,2.161708,0.01980198,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,,
in_sample_next_accuracy,0.14056761,0.13017362,0.00307727,3.377665,0.01980198,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,,
cv_next_accuracy,0.09348915,0.08385643,0.01038609,0.927464,0.22772277,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,2396,599
unigram_entropy,6.68324612,6.68324612,0,0,,genesis,major,transition_exact_shape,2996,296,random,taam_events,,,
conditional_entropy,4.24713899,4.26058619,0.01344141,-1.00043,0.17821782,genesis,major,transition_exact_shape,2996,296,random,taam_events,lower,,
entropy_reduction,2.43610713,2.42265993,0.01344141,1.00043,0.17821782,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,,
in_sample_next_accuracy,0.16293823,0.15470117,0.00231669,3.555533,0.00990099,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,,
cv_next_accuracy,0.04173623,0.03260434,0.00724577,1.260306,0.12871287,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,2396,599
unigram_entropy,4.37406812,4.37406812,0,0,,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,,,
conditional_entropy,3.92100288,3.95117478,0.01564058,-1.929077,0.03960396,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,lower,,
entropy_reduction,0.45306524,0.42289335,0.01564058,1.929077,0.03960396,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,,
in_sample_next_accuracy,0.15107914,0.14915631,0.00394151,0.487839,0.36633663,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,,
cv_next_accuracy,0.07189542,0.0922549,0.01707184,-1.192577,0.91089109,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,1223,306
unigram_entropy,7.95478924,7.95478924,0,0,,genesis,verse,transition_exact_shape,1530,408,random,taam_events,,,
conditional_entropy,2.57425702,2.5817278,0.00809027,-0.923428,0.14851485,genesis,verse,transition_exact_shape,1530,408,random,taam_events,lower,,
entropy_reduction,5.38053222,5.37306144,0.00809027,0.923428,0.14851485,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,,
in_sample_next_accuracy,0.28580772,0.283414,0.00298515,0.801877,0.1980198,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,,
cv_next_accuracy,0.00980392,0.00591503,0.00414659,0.937851,0.25742574,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,1223,306
