book,model,relation,reset_taamim,n_words,n_pulses,n_accents,n_intervals,unique_intervals,mean_interval,median_interval,entropy_norm,top1_interval,top1_share,top3_intervals,top3_share,top5_intervals,top5_share,null_model,null_top3_mean,null_top3_sd,top3_z,top3_empirical_p,top3_empirical_p_tail,null_entropy_mean,null_entropy_sd,entropy_z,entropy_empirical_p,entropy_empirical_p_tail
numbers,continuous,continuous,none,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,sof_only,within,sof_pasuq,16404,37184,14464,13180,8,2.559332,2.0,0.68348769,2,0.3939302,2+3+1,0.83778452,2+3+1+4+5,0.98892261,global_interval_shuffle,0.83546859,0.0008732,2.652243,0.01195219,upper,0.68521212,0.00081968,-2.103772,0.02390438,lower
numbers,sof_only,cross_reset,sof_pasuq,16404,37184,14464,1283,7,2.688231,3,0.74087607,3,0.3826968,3+2+4,0.81917381,3+2+4+1+5,0.99298519,global_interval_shuffle,0.83510834,0.00795499,-2.003086,0.98007968,upper,0.72460628,0.02432105,0.668959,0.84462151,lower
numbers,sof_only,all,sof_pasuq,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,major,within,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,12029,8,2.561643,2,0.68049553,2,0.39970072,2+3+1,0.83947128,2+3+1+4+5,0.98861086,global_interval_shuffle,0.83537883,0.00132598,3.086353,0.00398406,upper,0.68527514,0.00127522,-3.748077,0.00398406,lower
numbers,major,cross_reset,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,2434,7,2.615859,3.0,0.75028251,3,0.34593262,3+2+1,0.8147083,3+2+1+4+5,0.99260477,global_interval_shuffle,0.835106,0.00640785,-3.183237,1.0,upper,0.71035181,0.02403902,1.661078,0.99601594,lower
numbers,major,all,atnah+atnah_hafukh+sof_pasuq,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
numbers,major_minor,within,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,9969,8,2.55472,2,0.6706682,2,0.41017153,2+3+1,0.84441769,2+3+1+4+5,0.99057077,global_interval_shuffle,0.83517063,0.0020307,4.553633,0.00398406,upper,0.68620096,0.00612624,-2.535449,0.00398406,lower
numbers,major_minor,cross_reset,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,4494,8,2.606364,3.0,0.71248687,2,0.32977303,2+3+1,0.81508678,2+3+1+4+5,0.98642635,global_interval_shuffle,0.83562884,0.00446995,-4.595588,1.0,upper,0.69718053,0.02055681,0.744587,0.73705179,lower
numbers,major_minor,all,atnah+atnah_hafukh+paseq+revia+shalshelet+sof_pasuq+zaqef_gadol+zaqef_qatan,16404,37184,14464,14463,8,2.570767,2,0.68536449,2,0.38518979,2+3+1,0.83530388,2+3+1+4+5,0.989283,not_applicable_distribution_preserved,,,,,,,,,,
