from_shape,to_shape,count,p_to_given_from,p_to_background,lift,null_mean,null_sd,z,empirical_p,empirical_p_tail,p_value_scope,book,level,shape_field,transition_accent_mode
P5-6_A6-7_C0,P7-9_A8+_C0,11,0.04453441,0.01513129,2.94320076,3.496,1.86975075,4.013369,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P10-12_A8+_C0,18,0.02057143,0.01023587,2.00973913,8.856,2.57015306,3.557765,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A4_C0,171,0.24050633,0.19492657,1.23383041,139.052,9.11953726,3.503248,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P7-9_A8+_C0,23,0.02628571,0.01513129,1.73717647,13.252,3.21962107,3.027685,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P7-9_A5_C0,P7-9_A6-7_C0,3,0.11538462,0.03004005,3.84102564,0.684,0.81658511,2.836202,0.04780876,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A4_C0,P<=4_A2_C0,167,0.19085714,0.15821095,1.20634599,138.74,10.03009528,2.817521,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P<=4_A4_C0,40,0.29411765,0.19492657,1.50886382,26.608,4.79691333,2.791795,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P5-6_A4_C0,23,0.06609195,0.03871829,1.70699564,13.456,3.62721529,2.63122,0.01195219,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A4_C0,P5-6_A5_C0,22,0.12643678,0.07743658,1.63277844,12.984,3.51927338,2.561892,0.02390438,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A2_C0,P<=4_A3_C0,222,0.31223629,0.27614597,1.13069289,196.276,10.34659519,2.486229,0.00398406,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A5_C0,79,0.06365834,0.05184691,1.22781365,64.508,6.31708463,2.294096,0.01992032,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A3_C0,P7-9_A6-7_C0,3,0.08571429,0.03004005,2.85333333,0.972,0.90692118,2.236137,0.06374502,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A5_C0,P7-9_A8+_C0,10,0.02873563,0.01513129,1.89908722,5.248,2.17194969,2.187896,0.03585657,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P7-9_A6-7_C0,P7-9_A5_C0,3,0.02205882,0.00578549,3.81278281,0.892,0.96543475,2.183472,0.05976096,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P5-6_A6-7_C0,P5-6_A4_C0,16,0.06477733,0.03871829,1.67304202,9.776,2.91888739,2.132319,0.03187251,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A6-7_C0,P5-6_A5_C0,4,0.2,0.07743658,2.58275862,1.5,1.21321373,2.060643,0.06374502,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
P<=4_A3_C0,P<=4_A0-1_C0,100,0.08058018,0.06875834,1.17193306,85.116,7.36147466,2.021878,0.02788845,upper,screening_selected_transition,numbers,minor,transition_bucket_shape,taam_events
