metric,observed,null_mean,null_sd,z,empirical_p,book,level,shape_field,n_segments,vocab_size,split_mode,transition_accent_mode,empirical_p_tail,n_train_bigrams,n_test_bigrams
unigram_entropy,3.03856415,3.03856415,0,0,,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,,,
conditional_entropy,2.98882017,3.00347238,0.00251811,-5.818728,0.00199601,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,lower,,
entropy_reduction,0.04974398,0.03509177,0.00251811,5.818728,0.00199601,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,,
in_sample_next_accuracy,0.26853463,0.26759833,0.00109166,0.85769,0.22355289,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,,
cv_next_accuracy,0.26347826,0.26052,0.01109949,0.266522,0.40718563,genesis,minor,transition_bucket_shape,5747,22,random,taam_events,upper,4596,1150
unigram_entropy,4.21792664,4.21792664,0,0,,genesis,minor,transition_exact_shape,5747,71,random,taam_events,,,
conditional_entropy,3.98653821,4.01452436,0.00557219,-5.022471,0.00199601,genesis,minor,transition_exact_shape,5747,71,random,taam_events,lower,,
entropy_reduction,0.23138844,0.20340228,0.00557219,5.022471,0.00199601,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,,
in_sample_next_accuracy,0.17020536,0.1641977,0.00165626,3.627244,0.00399202,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,,
cv_next_accuracy,0.16173913,0.14351478,0.00959867,1.898632,0.0239521,genesis,minor,transition_exact_shape,5747,71,random,taam_events,upper,4596,1150
unigram_entropy,4.64246121,4.64246121,0,0,,genesis,major,transition_bucket_shape,2996,56,random,taam_events,,,
conditional_entropy,4.22829379,4.25195705,0.01025372,-2.307774,0.01397206,genesis,major,transition_bucket_shape,2996,56,random,taam_events,lower,,
entropy_reduction,0.41416742,0.39050416,0.01025372,2.307774,0.01397206,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,,
in_sample_next_accuracy,0.14056761,0.13031386,0.00297354,3.448331,0.00399202,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,,
cv_next_accuracy,0.09348915,0.0869783,0.01125671,0.578397,0.29341317,genesis,major,transition_bucket_shape,2996,56,random,taam_events,upper,2396,599
unigram_entropy,6.68324612,6.68324612,0,0,,genesis,major,transition_exact_shape,2996,296,random,taam_events,,,
conditional_entropy,4.24713899,4.25993222,0.01373918,-0.931149,0.16766467,genesis,major,transition_exact_shape,2996,296,random,taam_events,lower,,
entropy_reduction,2.43610713,2.4233139,0.01373918,0.931149,0.16766467,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,,
in_sample_next_accuracy,0.16293823,0.15469983,0.0024969,3.299454,0.00199601,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,,
cv_next_accuracy,0.04173623,0.03260768,0.00740761,1.232321,0.1237525,genesis,major,transition_exact_shape,2996,296,random,taam_events,upper,2396,599
unigram_entropy,4.37406812,4.37406812,0,0,,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,,,
conditional_entropy,3.92100288,3.95009552,0.01437638,-2.023641,0.01397206,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,lower,,
entropy_reduction,0.45306524,0.42397261,0.01437638,2.023641,0.01397206,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,,
in_sample_next_accuracy,0.15107914,0.14942838,0.00397133,0.415667,0.3752495,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,,
cv_next_accuracy,0.07189542,0.09360784,0.01596062,-1.360374,0.9241517,genesis,verse,transition_bucket_shape,1530,42,random,taam_events,upper,1223,306
unigram_entropy,7.95478924,7.95478924,0,0,,genesis,verse,transition_exact_shape,1530,408,random,taam_events,,,
conditional_entropy,2.57425702,2.58195318,0.00764895,-1.006172,0.14770459,genesis,verse,transition_exact_shape,1530,408,random,taam_events,lower,,
entropy_reduction,5.38053222,5.37283606,0.00764895,1.006172,0.14770459,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,,
in_sample_next_accuracy,0.28580772,0.28345193,0.00271731,0.866955,0.21157685,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,,
cv_next_accuracy,0.00980392,0.00652941,0.00469284,0.697767,0.31536926,genesis,verse,transition_exact_shape,1530,408,random,taam_events,upper,1223,306
unigram_entropy,3.12284419,3.12284419,0,0,,exodus,minor,transition_bucket_shape,4509,22,random,taam_events,,,
conditional_entropy,3.05080144,3.07442876,0.00327055,-7.224269,0.00199601,exodus,minor,transition_bucket_shape,4509,22,random,taam_events,lower,,
entropy_reduction,0.07204275,0.04841543,0.00327055,7.224269,0.00199601,exodus,minor,transition_bucket_shape,4509,22,random,taam_events,upper,,
in_sample_next_accuracy,0.26929902,0.2693882,0.00115399,-0.077276,0.51497006,exodus,minor,transition_bucket_shape,4509,22,random,taam_events,upper,,
cv_next_accuracy,0.2405765,0.26221064,0.01328681,-1.628242,0.95608782,exodus,minor,transition_bucket_shape,4509,22,random,taam_events,upper,3606,902
unigram_entropy,4.36498557,4.36498557,0,0,,exodus,minor,transition_exact_shape,4509,73,random,taam_events,,,
conditional_entropy,4.04043097,4.08388764,0.00705842,-6.156715,0.00199601,exodus,minor,transition_exact_shape,4509,73,random,taam_events,lower,,
entropy_reduction,0.3245546,0.28109794,0.00705842,6.156715,0.00199601,exodus,minor,transition_exact_shape,4509,73,random,taam_events,upper,,
in_sample_next_accuracy,0.16659272,0.15903461,0.00198502,3.807582,0.00199601,exodus,minor,transition_exact_shape,4509,73,random,taam_events,upper,,
cv_next_accuracy,0.12971175,0.13124834,0.01104602,-0.139108,0.57884232,exodus,minor,transition_exact_shape,4509,73,random,taam_events,upper,3606,902
unigram_entropy,4.76469115,4.76469115,0,0,,exodus,major,transition_bucket_shape,2350,61,random,taam_events,,,
conditional_entropy,4.19353612,4.23989885,0.01302448,-3.559662,0.00199601,exodus,major,transition_bucket_shape,2350,61,random,taam_events,lower,,
